,model,params,score
0,random_forest_classifier,"('gini', 'log2', 53)",0.6363636363636364
1,random_forest_classifier,"('gini', 'log2', 47)",0.6363636363636364
2,random_forest_classifier,"('entropy', 'sqrt', 51)",0.6363636363636364
3,random_forest_classifier,"('gini', 'sqrt', 13)",0.6363636363636364
4,logistic_regression,"('l1', 'saga', 1.438449888287663)",0.5909090909090909
5,random_forest_classifier,"('gini', None, 53)",0.5909090909090909
6,random_forest_classifier,"('entropy', 'sqrt', 7)",0.5909090909090909
7,random_forest_classifier,"('gini', 'log2', 49)",0.5909090909090909
8,logistic_regression,"('l1', 'liblinear', 0.8858667904100823)",0.5909090909090909
9,random_forest_classifier,"('entropy', 'sqrt', None)",0.5909090909090909
10,XGBoost_classifier,"(2, 500, 0.05)",0.5909090909090909
11,XGBoost_classifier,"(2, 1000, 0.05)",0.5909090909090909
12,logistic_regression,"('l1', 'saga', 2.3357214690901213)",0.5909090909090909
13,random_forest_classifier,"('gini', 'sqrt', 51)",0.5909090909090909
14,XGBoost_classifier,"(2, 1000, 0.1)",0.5909090909090909
15,random_forest_classifier,"('entropy', None, 21)",0.5909090909090909
16,random_forest_classifier,"('gini', 'sqrt', 9)",0.5454545454545454
17,logistic_regression,"('l2', 'liblinear', 6.158482110660261)",0.5454545454545454
18,logistic_regression,"('l2', 'liblinear', 3.792690190732246)",0.5454545454545454
19,random_forest_classifier,"('gini', 'sqrt', 55)",0.5454545454545454
20,random_forest_classifier,"('gini', 'log2', 15)",0.5454545454545454
21,random_forest_classifier,"('gini', 'log2', 19)",0.5454545454545454
22,random_forest_classifier,"('gini', 'log2', 31)",0.5454545454545454
23,random_forest_classifier,"('gini', 'log2', 45)",0.5454545454545454
24,random_forest_classifier,"('gini', 'sqrt', 7)",0.5454545454545454
25,logistic_regression,"('l2', 'liblinear', 0.001623776739188721)",0.5454545454545454
26,XGBoost_classifier,"(5, 100, 0.1)",0.5454545454545454
27,XGBoost_classifier,"(5, 100, 0.2)",0.5454545454545454
28,XGBoost_classifier,"(5, 100, 0.05)",0.5454545454545454
29,logistic_regression,"('l2', 'saga', 10.0)",0.5454545454545454
30,logistic_regression,"('l2', 'saga', 6.158482110660261)",0.5454545454545454
31,logistic_regression,"('l2', 'saga', 3.792690190732246)",0.5454545454545454
32,XGBoost_classifier,"(5, 500, 0.05)",0.5454545454545454
33,logistic_regression,"('l2', 'liblinear', 10.0)",0.5454545454545454
34,XGBoost_classifier,"(3, 1000, 0.05)",0.5454545454545454
35,XGBoost_classifier,"(4, 100, 0.1)",0.5454545454545454
36,XGBoost_classifier,"(2, 100, 0.05)",0.5454545454545454
37,XGBoost_classifier,"(4, 100, 0.2)",0.5454545454545454
38,random_forest_classifier,"('gini', 'sqrt', 19)",0.5454545454545454
39,XGBoost_classifier,"(3, 1000, 0.1)",0.5454545454545454
40,XGBoost_classifier,"(3, 500, 0.05)",0.5454545454545454
41,random_forest_classifier,"('gini', 'sqrt', 29)",0.5454545454545454
42,XGBoost_classifier,"(3, 100, 0.05)",0.5454545454545454
43,XGBoost_classifier,"(3, 100, 0.2)",0.5454545454545454
44,XGBoost_classifier,"(3, 100, 0.1)",0.5454545454545454
45,XGBoost_classifier,"(4, 100, 0.05)",0.5454545454545454
46,XGBoost_classifier,"(2, 1000, 0.2)",0.5454545454545454
47,random_forest_classifier,"('gini', None, 5)",0.5454545454545454
48,random_forest_classifier,"('gini', 'sqrt', 15)",0.5454545454545454
49,XGBoost_classifier,"(4, 500, 0.05)",0.5454545454545454
50,XGBoost_classifier,"(2, 500, 0.2)",0.5454545454545454
51,XGBoost_classifier,"(2, 500, 0.1)",0.5454545454545454
52,XGBoost_classifier,"(2, 100, 0.2)",0.5454545454545454
53,random_forest_classifier,"('gini', 'log2', 51)",0.5454545454545454
54,random_forest_classifier,"('entropy', 'log2', 45)",0.5454545454545454
55,random_forest_classifier,"('entropy', 'sqrt', 39)",0.5454545454545454
56,random_forest_classifier,"('entropy', 'log2', 9)",0.5454545454545454
57,logistic_regression,"('l1', 'saga', 10.0)",0.5454545454545454
58,random_forest_classifier,"('gini', None, 11)",0.5454545454545454
59,logistic_regression,"('l1', 'saga', 6.158482110660261)",0.5454545454545454
60,logistic_regression,"('l1', 'liblinear', 0.5455594781168515)",0.5454545454545454
61,logistic_regression,"('l1', 'saga', 3.792690190732246)",0.5454545454545454
62,logistic_regression,"('l1', 'liblinear', 1.438449888287663)",0.5454545454545454
63,logistic_regression,"('l1', 'liblinear', 2.3357214690901213)",0.5454545454545454
64,logistic_regression,"('l1', 'liblinear', 3.792690190732246)",0.5454545454545454
